Unnamed: 0,EmpID,FirstName,LastName,StartDate,Title,Supervisor,ADEmail,BusinessUnit,EmployeeStatus,EmployeeType,PayZone,EmployeeClassificationType,DepartmentType,Division,DOB,State,JobFunctionDescription,GenderCode,LocationCode,RaceDesc,MaritalDesc,Performance Score,Current Employee Rating
19,3446,Hector,Dalton,2021-08-24,Area Sales Manager,Sydney French,hector.dalton@bilearner.com,BPC,Active,Part-Time,Zone A,Part-Time,Sales,Field Operations,1996-05-01,TX,Driller,Female,16325,White,Divorced,Exceeds,2
25,3452,Jaydon,Blackburn,2022-11-08,Area Sales Manager,Debbie Crosby,jaydon.blackburn@bilearner.com,PYZ,Active,Part-Time,Zone A,Part-Time,Sales,General - Con,1947-01-07,IN,Foreman,Male,12122,Black,Divorced,Fully Meets,2
26,3453,Bridger,Carter,2022-10-13,Area Sales Manager,Elizabeth Taylor,bridger.carter@bilearner.com,WBL,Active,Contract,Zone C,Part-Time,Sales,Fielders,1982-04-07,MA,Engineer,Male,87065,White,Widowed,Fully Meets,4
27,3454,Leon,Beard,2022-09-11,Area Sales Manager,Brian Dunlap,leon.beard@bilearner.com,PYZ,Active,Full-Time,Zone C,Full-Time,IT/IS,General - Con,1970-01-29,KY,Foreman,Male,10415,Hispanic,Married,Needs Improvement,4
29,3456,Axel,Howe,2023-03-06,Area Sales Manager,Martin Hammond,axel.howe@bilearner.com,NEL,Active,Full-Time,Zone A,Temporary,Sales,Field Operations,1946-09-25,KY,Technician,Female,79623,Black,Divorced,Fully Meets,3
30,3457,Milton,Wall,2020-09-25,Area Sales Manager,Sara Bell,milton.wall@bilearner.com,PL,Active,Full-Time,Zone B,Temporary,Sales,Engineers,1947-08-23,KY,Technician,Female,69189,White,Divorced,Needs Improvement,3
33,3460,Alisa,James,2020-02-19,Area Sales Manager,Dennis Henderson,alisa.james@bilearner.com,SVG,Active,Full-Time,Zone A,Full-Time,Sales,Aerial,1944-02-10,TX,Lineman,Male,74682,Asian,Married,Fully Meets,3
38,3465,Willow,Stuart,2021-11-08,Area Sales Manager,Elizabeth Tapia,willow.stuart@bilearner.com,WBL,Active,Full-Time,Zone B,Full-Time,Sales,General - Con,1962-01-07,MA,Flagger,Male,66150,Asian,Divorced,Needs Improvement,3
40,3467,Celia,Curtis,2020-05-06,Area Sales Manager,Michael Odonnell,celia.curtis@bilearner.com,WBL,Active,Contract,Zone A,Part-Time,Sales,Fielders,1987-05-14,KY,Engineer,Female,94333,Asian,Divorced,Exceeds,1
41,3468,Valentin,Reilly,2019-09-09,Area Sales Manager,Andres Parker,valentin.reilly@bilearner.com,NEL,Active,Contract,Zone B,Temporary,Sales,Wireline Construction,1998-04-26,KY,Foreman,Female,45453,Black,Single,Fully Meets,4
44,3471,Jonathan,Adkins,2020-02-29,Area Sales Manager,John Marshall,jonathan.adkins@bilearner.com,CCDR,Active,Part-Time,Zone C,Temporary,Sales,Field Operations,1967-01-03,TX,Foreman,Male,64350,Asian,Married,Fully Meets,4
45,3472,Nevaeh,Soto,2023-01-15,Area Sales Manager,Jessica Chang,nevaeh.soto@bilearner.com,SVG,Active,Contract,Zone C,Full-Time,Sales,Project Management - Con,1982-01-12,TX,Director,Male,74124,Other,Married,Exceeds,4
46,3473,Chaim,Mata,2023-06-29,Area Sales Manager,Desiree Vang,chaim.mata@bilearner.com,EW,Active,Part-Time,Zone A,Temporary,Sales,Shop (Fleet),1950-10-01,CO,Manager,Male,33379,Hispanic,Widowed,Exceeds,2
47,3474,Arely,Patton,2020-03-09,Area Sales Manager,Andrew Goodman,arely.patton@bilearner.com,MSC,Active,Full-Time,Zone A,Temporary,Sales,Catv,1965-12-16,CO,Laborer,Male,34481,Other,Divorced,Fully Meets,2
50,3477,Sonny,Horne,2019-04-07,Area Sales Manager,Nancy Johnson,sonny.horne@bilearner.com,PYZ,Active,Part-Time,Zone A,Full-Time,IT/IS,Aerial,1969-12-03,KY,Laborer,Female,16058,Asian,Widowed,Needs Improvement,2
56,3483,Jaslene,Harding,2021-09-26,Area Sales Manager,Krystal Hamilton,jaslene.harding@bilearner.com,SVG,Active,Part-Time,Zone B,Temporary,Sales,Project Management - Con,1964-06-19,CO,Coordinator,Male,42605,Asian,Widowed,Fully Meets,1
57,3484,Albert,Gonzalez,2018-08-29,Area Sales Manager,Amber Hernandez,albert.gonzalez@bilearner.com,EW,Active,Part-Time,Zone B,Full-Time,Sales,General - Con,1995-07-18,CO,Model Assistant,Male,64036,Other,Single,Fully Meets,4
58,3485,Jaiden,Johnson,2021-10-26,Area Sales Manager,Patricia Smith,jaiden.johnson@bilearner.com,MSC,Active,Contract,Zone C,Full-Time,Sales,Field Operations,1994-08-22,CO,Laborer,Male,23173,White,Widowed,Fully Meets,5
60,3487,Kimora,Parsons,2023-03-15,Area Sales Manager,Jesse Hunt,kimora.parsons@bilearner.com,BPC,Active,Contract,Zone B,Part-Time,Sales,General - Sga,1994-02-01,KY,Administrator,Female,41161,Other,Divorced,Fully Meets,4
61,3488,Willie,Patterson,2022-09-09,Area Sales Manager,Shane Jones,willie.patterson@bilearner.com,CCDR,Active,Contract,Zone B,Full-Time,Sales,Wireline Construction,1997-11-12,KY,Lineman,Female,52499,Asian,Single,Fully Meets,2
62,3489,Devyn,Powers,2022-03-04,Area Sales Manager,Jessica Murphy,devyn.powers@bilearner.com,EW,Active,Part-Time,Zone A,Temporary,Sales,Field Operations,1953-05-02,TX,Laborer,Female,25634,Black,Divorced,Fully Meets,2
63,3490,Weston,Preston,2019-02-11,Area Sales Manager,Crystal Wallace,weston.preston@bilearner.com,MSC,Active,Part-Time,Zone A,Part-Time,Sales,General - Sga,1991-07-10,TX,Director,Female,37965,Hispanic,Divorced,Fully Meets,2
64,3491,Lennon,Buchanan,2021-01-26,Area Sales Manager,Tina Nelson,lennon.buchanan@bilearner.com,NEL,Active,Contract,Zone B,Full-Time,Sales,Field Operations,1973-06-02,TX,Driver,Male,39504,White,Widowed,Fully Meets,5
65,3492,Vicente,Merritt,2019-11-26,Area Sales Manager,Ashley Smith,vicente.merritt@bilearner.com,PL,Active,Full-Time,Zone C,Full-Time,Sales,General - Con,1993-01-08,CO,Clerk,Male,31676,Asian,Married,Fully Meets,1
66,3493,Hugo,Clay,2019-07-15,Area Sales Manager,Eric Taylor,hugo.clay@bilearner.com,PYZ,Active,Full-Time,Zone C,Full-Time,Sales,Project Management - Con,1984-04-17,CO,Project Manager,Male,28784,Asian,Widowed,Fully Meets,5
67,3494,Cohen,Raymond,2020-06-18,Area Sales Manager,Jacob Snyder,cohen.raymond@bilearner.com,SVG,Active,Contract,Zone B,Full-Time,Sales,General - Con,1994-02-08,CO,Technician,Male,90983,Black,Single,Fully Meets,4
69,3496,Aspen,Bentley,2021-12-02,Area Sales Manager,Barbara Garcia,aspen.bentley@bilearner.com,WBL,Active,Contract,Zone A,Part-Time,Sales,General - Sga,1964-09-19,CA,Administrator,Male,72233,Other,Widowed,Fully Meets,5
70,3497,Graham,Rodriguez,2021-12-08,Area Sales Manager,Kendra Murray,graham.rodriguez@bilearner.com,TNS,Active,Part-Time,Zone C,Temporary,Sales,Project Management - Con,1981-02-18,OR,Lineman,Female,58210,Hispanic,Widowed,Fully Meets,1
75,3502,Eugene,Marks,2019-10-01,Area Sales Manager,Angela Morris,eugene.marks@bilearner.com,BPC,Active,Full-Time,Zone C,Temporary,Sales,Splicing,1976-06-29,TX,Electrician,Male,49914,White,Married,Fully Meets,1
76,3503,Geovanni,Pugh,2022-01-20,Area Sales Manager,Erica Franklin,geovanni.pugh@bilearner.com,CCDR,Active,Part-Time,Zone A,Temporary,Sales,Project Management - Con,1951-07-27,CO,Manager,Male,71319,Other,Single,Fully Meets,4
77,3504,Javon,Kelley,2021-10-10,Area Sales Manager,Gabriela Orr,javon.kelley@bilearner.com,SVG,Active,Full-Time,Zone B,Part-Time,Sales,General - Con,1980-08-23,CO,Laborer,Male,27992,Hispanic,Married,Fully Meets,2
78,3505,Amaya,Hicks,2020-08-29,Area Sales Manager,Michael Wilkins,amaya.hicks@bilearner.com,EW,Active,Contract,Zone B,Temporary,Sales,Field Operations,1943-07-24,IN,Groundman,Male,72324,Hispanic,Widowed,Fully Meets,1
81,3508,Aidan,Harding,2021-07-13,Area Sales Manager,Trevor Adkins,aidan.harding@bilearner.com,CCDR,Active,Full-Time,Zone B,Part-Time,Sales,Aerial,1942-05-26,OR,Laborer,Male,9385,Asian,Single,Fully Meets,5
82,3509,Cruz,Boyer,2021-04-14,Area Sales Manager,Marcus Hunt,cruz.boyer@bilearner.com,BPC,Active,Part-Time,Zone C,Full-Time,Sales,General - Sga,1977-11-04,KY,Project Controls,Female,75993,Black,Married,Fully Meets,2
83,3510,Raven,Koch,2020-02-10,Area Sales Manager,Jennifer King,raven.koch@bilearner.com,PYZ,Active,Part-Time,Zone A,Full-Time,Sales,General - Con,1956-10-17,KY,Laborer,Female,65329,Hispanic,Married,Fully Meets,2
87,3514,Alexus,Estes,2020-04-15,Area Sales Manager,April Randolph,alexus.estes@bilearner.com,BPC,Active,Full-Time,Zone B,Part-Time,Sales,Wireline Construction,1958-01-03,TX,Manager,Male,17419,Asian,Married,Fully Meets,1
90,3517,Milagros,Francis,2020-02-19,Area Sales Manager,Caleb Schneider,milagros.francis@bilearner.com,EW,Active,Part-Time,Zone A,Part-Time,Sales,Splicing,1942-01-04,IN,Splicer,Male,44469,Hispanic,Widowed,Fully Meets,4
94,3521,Jocelyn,Bradford,2019-02-26,Area Sales Manager,Melissa Decker,jocelyn.bradford@bilearner.com,WBL,Active,Contract,Zone C,Part-Time,Sales,General - Con,1949-04-16,KY,Electrician,Female,51795,Asian,Divorced,Fully Meets,4
95,3522,Marques,Armstrong,2020-03-02,Area Sales Manager,Michael Nguyen,marques.armstrong@bilearner.com,BPC,Active,Full-Time,Zone C,Part-Time,Sales,Splicing,1983-10-12,KY,Splicer,Female,34369,Other,Single,Fully Meets,1
99,3526,Darius,Krause,2022-09-15,Area Sales Manager,Paige Flores MD,darius.krause@bilearner.com,NEL,Active,Full-Time,Zone B,Full-Time,Sales,General - Con,1948-05-30,TX,Foreman,Male,28282,White,Widowed,Fully Meets,4
101,3528,Kymani,Benjamin,2022-10-13,Area Sales Manager,William Ayala,kymani.benjamin@bilearner.com,PYZ,Active,Full-Time,Zone C,Part-Time,Sales,Finance & Accounting,1991-12-13,CO,Accounting,Male,10790,Hispanic,Widowed,Fully Meets,2
103,3530,Zariah,Black,2019-11-13,Area Sales Manager,Jenna Weaver,zariah.black@bilearner.com,TNS,Active,Full-Time,Zone B,Part-Time,Sales,Field Operations,1993-06-16,CA,Tower Hand,Female,62321,Black,Widowed,Fully Meets,2
104,3531,Ronnie,Mayer,2023-06-17,Area Sales Manager,Dylan Blake,ronnie.mayer@bilearner.com,WBL,Active,Full-Time,Zone C,Full-Time,Sales,Project Management - Con,1943-05-18,CA,Project Manager,Male,18409,Black,Divorced,Fully Meets,1
105,3532,Marlon,Ford,2021-10-14,Area Sales Manager,Monique Anderson,marlon.ford@bilearner.com,EW,Active,Part-Time,Zone B,Full-Time,IT/IS,Wireless,1966-11-27,OR,Technician,Female,40306,Black,Widowed,Fully Meets,1
107,3534,Lee,Frye,2018-09-14,Area Sales Manager,Sonia Diaz,lee.frye@bilearner.com,TNS,Active,Full-Time,Zone A,Full-Time,Sales,Engineers,1959-08-16,KY,Engineer,Female,97002,Asian,Single,Fully Meets,4
109,3536,Aylin,Berg,2022-08-06,Area Sales Manager,Thomas Holmes,aylin.berg@bilearner.com,WBL,Active,Contract,Zone C,Temporary,Sales,General - Sga,1989-01-02,GA,Administrative,Female,89169,Black,Single,Fully Meets,2
112,3539,Chaz,Bruce,2019-12-08,Area Sales Manager,John Johnson,chaz.bruce@bilearner.com,BPC,Active,Full-Time,Zone C,Temporary,Sales,General - Con,1983-11-27,CO,Foreman,Male,74448,Hispanic,Single,Fully Meets,5
115,3542,Ellie,Gill,2023-04-15,Area Sales Manager,Amanda Knight,ellie.gill@bilearner.com,EW,Active,Contract,Zone A,Temporary,Sales,Field Operations,1948-03-01,IN,Manager,Male,45456,White,Married,Needs Improvement,1
116,3543,Rayne,Kerr,2020-11-10,Area Sales Manager,Kimberly Cardenas,rayne.kerr@bilearner.com,MSC,Active,Part-Time,Zone A,Temporary,Sales,General - Con,1981-02-18,CA,Laborer,Female,45509,Black,Single,Fully Meets,2
118,3545,Ryann,Rubio,2022-03-07,Area Sales Manager,Andres Jones,ryann.rubio@bilearner.com,EW,Active,Full-Time,Zone C,Temporary,IT/IS,Field Operations,1943-01-28,OR,Locator,Female,9733,Black,Widowed,Fully Meets,1
120,3547,Adriel,Wiggins,2022-01-20,Area Sales Manager,Sara Edwards,adriel.wiggins@bilearner.com,BPC,Active,Contract,Zone B,Full-Time,Sales,Project Management - Eng,1947-03-25,KY,Supervisor,Female,1919,Other,Married,Needs Improvement,2
124,3551,Emery,Roach,2018-08-11,Area Sales Manager,Victoria Bailey,emery.roach@bilearner.com,PYZ,Active,Part-Time,Zone C,Part-Time,Sales,Engineers,1954-07-04,TX,Engineer,Male,81142,Black,Married,Needs Improvement,4
126,3553,Khalil,Mendez,2020-01-20,Area Sales Manager,Regina Martinez,khalil.mendez@bilearner.com,NEL,Active,Contract,Zone C,Temporary,Sales,Field Operations,1949-05-07,CO,Foreman,Male,50379,Black,Divorced,Fully Meets,4
127,3554,Lizeth,Holland,2019-03-31,Area Sales Manager,Tonya Martin,lizeth.holland@bilearner.com,MSC,Active,Part-Time,Zone C,Temporary,Sales,People Services,1958-10-14,IN,Cpo,Male,78385,Asian,Widowed,Fully Meets,1
130,3557,Nicholas,Obrien,2019-02-13,Area Sales Manager,Victoria Christian DDS,nicholas.obrien@bilearner.com,BPC,Active,Part-Time,Zone C,Temporary,Sales,Field Operations,1960-06-06,MA,Operator,Male,68837,Other,Single,Fully Meets,2
131,3558,Mildred,Gentry,2018-12-30,Production Technician I,Erin Moore,mildred.gentry@bilearner.com,MSC,Active,Part-Time,Zone A,Part-Time,Production       ,Yard (Material Handling),1959-06-04,MA,Manager,Female,2145,Black,Single,Fully Meets,1
133,3560,Joanne,Handschiegl,2022-06-01,Production Technician I,Wanda Ross DDS,joanne.handschiegl@bilearner.com,MSC,Active,Contract,Zone C,Full-Time,Production       ,Field Operations,1954-02-18,MA,Technician,Female,2127,Asian,Divorced,Exceeds,4
134,3561,Dianna,Blount,2023-03-28,Production Technician II,Steven King,dianna.blount@bilearner.com,BPC,Active,Part-Time,Zone C,Temporary,Production       ,General - Con,1959-01-31,MA,Technician,Female,2171,White,Married,Fully Meets,5
136,3563,Nore,Sadki,2019-01-01,Production Technician I,Patricia Carter,nore.sadki@bilearner.com,WBL,Active,Contract,Zone B,Full-Time,Production       ,Field Operations,1946-10-15,MA,Driver,Male,2148,Black,Widowed,PIP,4
138,3565,Kramer,Keatts,2021-09-11,Production Technician I,Diana Good,kramer.keatts@bilearner.com,WBL,Active,Part-Time,Zone B,Full-Time,Production       ,General - Con,1968-05-10,MA,Lineman,Male,1887,Other,Divorced,Fully Meets,4
139,3566,Maliki,Moumanil,2021-09-26,Production Technician II,Desiree Stephens,maliki.moumanil@bilearner.com,PL,Active,Part-Time,Zone A,Part-Time,Production       ,Aerial,1963-10-05,MA,Lineman,Male,1460,Black,Single,Fully Meets,2
140,3567,Nader,Barton,2023-03-04,Production Technician I,Debra Garcia,nader.barton@bilearner.com,EW,Active,Full-Time,Zone C,Full-Time,Production       ,General - Sga,1966-09-02,MA,Technician,Male,2747,Asian,Widowed,Fully Meets,4
150,3577,Miguel,Estremera,2019-09-15,Production Technician I,James Rodriguez,miguel.estremera@bilearner.com,BPC,Active,Part-Time,Zone C,Temporary,Production       ,Field Operations,1957-05-30,MA,Tower Hand,Male,2129,White,Widowed,Fully Meets,4
151,3578,Clinton,Owad,2019-05-04,Production Technician I,Elizabeth Sullivan MD,clinton.owad@bilearner.com,WBL,Active,Full-Time,Zone A,Temporary,Production       ,Field Operations,1957-05-30,MA,Technician,Male,1760,Hispanic,Married,Exceeds,2
152,3579,Constance,Sloan,2021-05-20,Production Technician II,Sean Marsh,constance.sloan@bilearner.com,BPC,Active,Full-Time,Zone C,Part-Time,Production       ,Field Operations,1946-11-15,MA,Laborer,Female,1851,Asian,Widowed,Needs Improvement,4
153,3580,Davion,Sanchez,2019-12-16,Production Technician I,Kathryn Wilkinson,davion.sanchez@bilearner.com,PYZ,Active,Full-Time,Zone C,Full-Time,Production       ,Field Operations,1942-04-21,MA,Foreman,Male,41016,Other,Married,Fully Meets,4
157,3584,Orlando,Armstrong,2020-08-14,Production Technician I,Chris Walker,orlando.armstrong@bilearner.com,BPC,Active,Contract,Zone C,Full-Time,Production       ,Field Operations,1987-11-07,MA,Lineman,Female,2051,Other,Married,Fully Meets,4
158,3585,Edward,Everett,2021-12-22,Production Technician I,Traci Floyd,edward.everett@bilearner.com,CCDR,Active,Full-Time,Zone A,Full-Time,Production       ,Yard (Material Handling),1992-07-16,MA,Laborer,Female,3074,Black,Divorced,Fully Meets,4
162,3589,Giovani,Roy,2019-04-25,Production Technician I,Jay Bush,giovani.roy@bilearner.com,PL,Active,Contract,Zone B,Temporary,Production       ,Field Operations,1951-08-02,MA,Laborer,Male,2683,White,Single,Fully Meets,1
166,3593,Brayden,Malone,2020-05-30,Production Technician I,Ashley Bradshaw,brayden.malone@bilearner.com,WBL,Active,Contract,Zone A,Full-Time,Production       ,General - Con,1949-11-11,MA,Foreman,Male,48453,Asian,Married,Fully Meets,1
167,3594,Maribel,Morrison,2018-12-11,Production Technician I,Ashley Meyer,maribel.morrison@bilearner.com,PYZ,Active,Part-Time,Zone B,Part-Time,Production       ,Field Operations,1968-03-14,MA,Technician,Male,72888,Black,Married,Needs Improvement,1
169,3596,Kellen,Medina,2019-07-28,Production Technician I,John Henry,kellen.medina@bilearner.com,NEL,Active,Part-Time,Zone C,Full-Time,Production       ,Splicing,1982-07-19,MA,Technician,Male,33998,Other,Single,Needs Improvement,2
172,3599,Elaine,Weeks,2020-04-12,Production Technician II,Dana Smith,elaine.weeks@bilearner.com,TNS,Active,Part-Time,Zone A,Temporary,Production       ,General - Con,1950-03-31,MA,Technician,Female,14044,White,Divorced,Fully Meets,2
173,3600,Marely,Dixon,2022-11-01,Production Technician II,Bobby Serrano,marely.dixon@bilearner.com,WBL,Active,Contract,Zone B,Temporary,Production       ,Field Operations,1949-10-07,MA,Technician,Female,34810,White,Single,Fully Meets,2
174,3601,Keagan,Henson,2022-11-21,Production Technician II,Robert Riley,keagan.henson@bilearner.com,BPC,Active,Part-Time,Zone B,Full-Time,Production       ,Wireline Construction,1966-07-22,MA,Billing,Female,75187,White,Married,Fully Meets,5
178,3605,Emerson,Pitts,2019-09-18,Production Technician I,Destiny Johnson,emerson.pitts@bilearner.com,CCDR,Active,Contract,Zone C,Temporary,Production       ,Engineers,1943-08-25,MA,Technician,Male,2315,Other,Divorced,Fully Meets,4
181,3608,Ally,Zhang,2019-02-13,Production Technician I,Ashley Williamson,ally.zhang@bilearner.com,MSC,Active,Full-Time,Zone C,Part-Time,Production       ,Field Operations,1979-07-06,MA,Technician,Male,74447,Other,Married,Fully Meets,3
182,3609,Kayleigh,Harmon,2021-06-02,Production Technician I,Frederick Harrison,kayleigh.harmon@bilearner.com,TNS,Active,Contract,Zone B,Full-Time,Production       ,Shop (Fleet),1993-06-09,MA,Welder,Female,21318,Other,Widowed,Fully Meets,3
183,3610,Kayley,Myers,2018-10-11,Production Technician I,Brian Arnold,kayley.myers@bilearner.com,PYZ,Active,Part-Time,Zone C,Full-Time,Production       ,Field Operations,1973-04-07,MA,Laborer,Female,51430,Other,Single,Fully Meets,3
184,3611,Rowan,Cobb,2021-03-09,Production Technician I,Lori Reed,rowan.cobb@bilearner.com,WBL,Active,Contract,Zone C,Full-Time,Production       ,Project Management - Con,1952-01-20,MA,Technician,Female,85651,Hispanic,Married,Fully Meets,2
185,3612,Edward,Mann,2022-01-23,Production Technician I,Trevor Rodriguez,edward.mann@bilearner.com,NEL,Active,Contract,Zone A,Part-Time,Production       ,Field Operations,1984-12-25,MA,Technician,Male,68900,Black,Single,PIP,4
186,3613,Amirah,Johnson,2019-02-24,Production Technician I,Jason Owens,amirah.johnson@bilearner.com,PL,Active,Contract,Zone B,Part-Time,Production       ,Field Operations,1973-06-14,MA,Laborer,Male,9241,Asian,Married,Exceeds,1
189,3616,Ruben,Lewis,2022-02-12,Production Technician I,Allison Tran,ruben.lewis@bilearner.com,SVG,Active,Contract,Zone C,Full-Time,Production       ,General - Con,1981-03-24,MA,Laborer,Female,14234,Hispanic,Married,Fully Meets,4
190,3617,Bailey,Collier,2023-02-01,Production Technician I,Pamela Johnson,bailey.collier@bilearner.com,EW,Active,Full-Time,Zone C,Full-Time,Production       ,Wireline Construction,1961-02-18,MA,Splicer,Female,37635,Hispanic,Married,Fully Meets,1
191,3618,Charlee,Roth,2023-02-04,Production Technician I,Erin Harris,charlee.roth@bilearner.com,MSC,Active,Part-Time,Zone B,Temporary,Production       ,Splicing,1944-05-05,MA,Splicer,Male,13186,Black,Married,Fully Meets,3
194,3621,Victoria,Franco,2018-11-28,Production Technician I,Natalie Cannon,victoria.franco@bilearner.com,WBL,Active,Contract,Zone A,Full-Time,Production       ,Wireless,1997-09-09,MA,Laborer,Male,15586,White,Married,Fully Meets,2
196,3623,Jocelyn,Kline,2019-02-11,Production Technician II,Elizabeth Burton,jocelyn.kline@bilearner.com,EW,Active,Part-Time,Zone A,Full-Time,Production       ,Engineers,1958-04-25,MA,Engineer,Female,47289,Asian,Divorced,Fully Meets,3
197,3624,Cesar,Higgins,2020-01-09,Production Technician II,Timothy Curtis,cesar.higgins@bilearner.com,MSC,Active,Part-Time,Zone B,Part-Time,Production       ,Technology / It,1996-02-04,MA,Engineer,Female,85711,Asian,Married,Fully Meets,4
199,3626,Raphael,Sandoval,2021-05-15,Production Technician II,Natalie Baker,raphael.sandoval@bilearner.com,PYZ,Active,Full-Time,Zone B,Temporary,Production       ,Field Operations,1993-10-28,MA,Foreman,Female,61825,Asian,Single,Fully Meets,2
201,3628,Peyton,Barber,2020-09-18,Production Technician II,Megan Small,peyton.barber@bilearner.com,NEL,Active,Contract,Zone B,Part-Time,Production       ,Engineers,1946-01-27,MA,Technician,Female,56126,Hispanic,Married,Fully Meets,3
203,3630,Stephanie,Briggs,2019-02-23,Production Technician I,Scott Davis,stephanie.briggs@bilearner.com,MSC,Active,Contract,Zone B,Full-Time,Production       ,Field Operations,1965-05-07,MA,Laborer,Male,81819,Other,Widowed,Fully Meets,5
206,3633,Emma,Ware,2022-03-21,Production Technician I,Melissa Wilkinson,emma.ware@bilearner.com,BPC,Active,Contract,Zone B,Temporary,Production       ,Aerial,1987-03-24,MA,Laborer,Female,56687,Hispanic,Single,Fully Meets,5
208,3635,Kylee,Bates,2020-10-26,Production Technician I,Stephen Barron,kylee.bates@bilearner.com,WBL,Active,Part-Time,Zone C,Part-Time,Production       ,Yard (Material Handling),1978-03-12,MA,Runner,Female,71593,Hispanic,Single,Fully Meets,4
209,3636,Marc,Chandler,2020-01-29,Production Technician I,Jennifer Soto,marc.chandler@bilearner.com,NEL,Active,Contract,Zone B,Temporary,Production       ,Catv,1982-03-13,MA,Supervisor,Male,10775,Asian,Divorced,Fully Meets,3
210,3637,Abdullah,Pruitt,2022-04-23,Production Technician I,John Jones,abdullah.pruitt@bilearner.com,PL,Active,Full-Time,Zone C,Full-Time,Production       ,Aerial,1995-04-17,MA,Engineer,Male,59441,Asian,Divorced,Fully Meets,3
211,3638,Shamar,Roth,2023-06-15,Production Technician I,Ernest Evans,shamar.roth@bilearner.com,BPC,Active,Full-Time,Zone C,Part-Time,Production       ,Field Operations,1978-12-10,MA,Inspector,Male,55470,Hispanic,Single,Fully Meets,3
213,3640,Kale,House,2023-01-07,Production Technician I,Gina Leon,kale.house@bilearner.com,SVG,Active,Contract,Zone A,Temporary,Production       ,Field Operations,2000-09-21,MA,Foreman,Female,48077,Asian,Divorced,Fully Meets,3
216,3643,Issac,Whitehead,2020-04-16,Production Technician I,Eric Calderon,issac.whitehead@bilearner.com,TNS,Active,Full-Time,Zone A,Full-Time,Production       ,Catv,1961-03-22,MA,Laborer,Male,9287,Asian,Single,Fully Meets,3
217,3644,Madisyn,Andrews,2022-06-16,Production Technician I,Thomas Jones,madisyn.andrews@bilearner.com,PYZ,Active,Part-Time,Zone B,Full-Time,Production       ,Field Operations,1986-06-24,MA,Laborer,Male,42213,Black,Married,Fully Meets,3
218,3645,Madyson,Rhodes,2019-07-22,Production Technician I,Bridget Mills,madyson.rhodes@bilearner.com,WBL,Active,Part-Time,Zone C,Full-Time,Production       ,General - Con,1977-09-16,MA,Technician,Male,34428,Asian,Single,Fully Meets,3
219,3646,Brenton,Rodriguez,2023-04-22,Production Technician II,Sara Bullock,brenton.rodriguez@bilearner.com,SVG,Active,Part-Time,Zone A,Full-Time,Production       ,Splicing,1968-01-01,MA,Splicer,Female,77551,Hispanic,Widowed,Fully Meets,3
